Time;SP_500;Gold;Vix;RF;P1_risk;P1_Currency
27.12.02 00:00;875.24;349.25;28.745;1.07;69.80253659;1.968396786
30.12.02 00:00;879.2;343.65;30.15;1.15;72.05924247;1.974347421
31.12.02 00:00;879.75;348.05;29.11;1.2;72.25673585;1.975601398
02.01.03 00:00;908.84;346.05;27.03;1.18;71.40564968;1.961377596
03.01.03 00:00;908.42;351.25;25.115;1.18;72.31901066;1.974671607
06.01.03 00:00;928.91;351.25;24.855;1.17;70.07057727;1.982632116
07.01.03 00:00;922.8;347.25;25.3;1.17;68.59616554;1.974506527
08.01.03 00:00;909.69;353.625;25.415;1.17;70.22800337;1.987904695
09.01.03 00:00;927.47;352.75;24.46;1.18;68.5896488;1.985495788
10.01.03 00:00;927.48;354.75;24.42;1.17;67.90642177;1.998802515
13.01.03 00:00;926.22;354.55;25.08;1.17;68.51578975;1.995969641
14.01.03 00:00;931.53;351.35;24.735;1.18;68.68593894;1.997175865
15.01.03 00:00;918.14;350.75;25.43;1.17;66.91884266;1.99943886
16.01.03 00:00;914.62;357.45;25.245;1.17;67.92573572;2.010478499
17.01.03 00:00;901.7;356.55;25.6;1.17;69.24237347;2.019107896
21.01.03 00:00;887.62;357.75;27.215;1.17;67.17262484;2.020079867
22.01.03 00:00;878.21;361.85;28.425;1.17;68.1573057;2.018389936
23.01.03 00:00;887.4;363.05;28.27;1.16;68.11280072;2.026262297
24.01.03 00:00;861.29;368.25;30.43;1.14;67.58654339;2.03715369
27.01.03 00:00;847.3;369.65;34.15;1.15;67.40535247;2.036704288
28.01.03 00:00;858.39;369.25;33.145;1.19;67.78128516;2.033182768
29.01.03 00:00;864.41;365.95;32.145;1.18;69.16674515;2.040424542
30.01.03 00:00;844.49;370.35;31.08;1.17;66.27847406;2.038505561
31.01.03 00:00;855.49;368.15;31.135;1.17;66.55312666;2.031161566
03.02.03 00:00;860.08;371.05;31.66;1.16;65.86607517;2.032832402
04.02.03 00:00;848.25;381.25;33.035;1.18;64.51279675;2.046550434
05.02.03 00:00;843.48;371.75;32.6;1.18;64.19644497;2.034186342
06.02.03 00:00;838.17;370.05;33.68;1.17;63.65208121;2.038463473
07.02.03 00:00;829.48;369.75;33.75;1.17;62.8013947;2.034945886
10.02.03 00:00;835.8;362.15;34.825;1.17;62.45984671;2.023366932
11.02.03 00:00;829.04;363.875;33.345;1.19;60.84929344;2.023981483
12.02.03 00:00;818.61;352.75;34.05;1.18;61.6195564;2.017591308
13.02.03 00:00;817.23;356.55;34.265;1.18;61.59770752;2.036717902
14.02.03 00:00;834.74;351.55;33.18;1.19;62.30176491;2.029031921
18.02.03 00:00;851.1;343.55;31.615;1.19;62.32634981;2.012532598
19.02.03 00:00;845.05;349.45;31.425;1.19;62.75369228;2.023242647
20.02.03 00:00;837.06;352.25;31.065;1.19;61.94540972;2.03269232
21.02.03 00:00;848.24;351.35;30.905;1.2;63.23314307;2.025767815
24.02.03 00:00;832.51;357.75;31.885;1.21;63.36495098;2.038365631
25.02.03 00:00;838.48;351.85;32.33;1.25;64.51450603;2.031407824
26.02.03 00:00;827.36;354.35;31.98;1.26;64.0397902;2.038498471
27.02.03 00:00;837.17;345.45;31.16;1.24;65.40074649;2.030237123
28.02.03 00:00;841.31;349.95;29.45;1.21;65.64379086;2.036304047
03.03.03 00:00;834.65;349.05;30.115;1.2;64.25031961;2.048990938
04.03.03 00:00;822;354.25;31.48;1.23;64.02728055;2.054221714
05.03.03 00:00;829.73;353.55;30.855;1.21;63.58472861;2.067492209
06.03.03 00:00;822.1;356.25;31.11;1.2;66.40310778;2.063311488
07.03.03 00:00;828.82;350.75;31.825;1.16;66.97173446;2.065247613
10.03.03 00:00;807.45;354.45;33.465;1.13;65.39395058;2.069703498
11.03.03 00:00;800.63;350.65;33.36;1.15;65.576455;2.061959185
12.03.03 00:00;804.07;345.75;33.86;1.15;66.11159902;2.050747773
13.03.03 00:00;831.83;334.35;32.325;1.15;67.33675584;2.030140703
14.03.03 00:00;833.17;336.35;30.85;1.14;65.47726452;2.027017556
17.03.03 00:00;862.77;336.55;32.145;1.16;66.90100367;2.009763156
18.03.03 00:00;866.3;337.85;30.875;1.19;66.69113479;2.009830293
19.03.03 00:00;873.97;336.45;30.97;1.19;64.02694298;2.000383677
20.03.03 00:00;875.71;332.25;31.205;1.19;65.43784956;2.008099687
21.03.03 00:00;895.76;326.05;29.07;1.18;62.23931339;1.993964664
24.03.03 00:00;864.21;329.65;30.665;1.18;64.54455775;2.013117654
25.03.03 00:00;874.65;328.55;29.625;1.21;63.24298651;2.014910926
26.03.03 00:00;869.98;330.25;28.34;1.19;61.19069765;2.018382356
27.03.03 00:00;868.44;329.25;28.36;1.18;62.53419791;2.01723585
28.03.03 00:00;863.4;331.85;27.915;1.15;61.0783378;2.026593609
31.03.03 00:00;848.1;337.45;29.39;1.16;61.52865657;2.044251241
01.04.03 00:00;858.39;334.95;28.88;1.17;59.70264919;2.04278529
02.04.03 00:00;880.93;329.95;27.785;1.17;57.88415375;2.023276081
03.04.03 00:00;876.33;325.25;27.99;1.17;57.14308079;2.022224392
04.04.03 00:00;878.68;325.55;29.195;1.17;50.45836769;2.013409503
07.04.03 00:00;879.86;323.05;28.27;1.19;49.7689176;2.007186753
08.04.03 00:00;878.17;322.75;27.4;1.19;51.3292287;2.012227555
09.04.03 00:00;865.86;326.85;26.68;1.17;49.22231868;2.023369652
10.04.03 00:00;871.36;326.55;26.32;1.18;49.19650222;2.026081073
11.04.03 00:00;868.27;328.05;24.755;1.18;52.97407971;2.022090078
14.04.03 00:00;885.13;324.85;24.16;1.19;49.04343688;2.025208926
15.04.03 00:00;890.7;324.95;22.93;1.17;48.15457156;2.028663055
16.04.03 00:00;879.79;326.45;22.4;1.15;47.00152106;2.045264716
17.04.03 00:00;893.48;327.15;21.855;1.14;45.95345979;2.039629096
21.04.03 00:00;891.98;333.55;21.955;1.14;43.40284006;2.034477495
22.04.03 00:00;911.4;332.95;21.06;1.14;44.42113481;2.054486239
23.04.03 00:00;918.87;331.25;20.875;1.14;42.38230962;2.050071259
24.04.03 00:00;911.29;334.45;20.79;1.13;40.50339385;2.058746146
25.04.03 00:00;898.66;333.25;20.625;1.13;40.65922965;2.059723342
28.04.03 00:00;914.86;333.85;20.805;1.13;39.4648316;2.054468329
29.04.03 00:00;917.85;334.25;20.895;1.14;39.28251901;2.068132081
30.04.03 00:00;916.75;338.55;21.215;1.13;38.85515012;2.080720461
01.05.03 00:00;916.12;341.75;21.825;1.09;38.88356056;2.093337189
02.05.03 00:00;929.9;340.95;21.025;1.07;37.14334352;2.091577765
05.05.03 00:00;926.43;342.25;21.385;1.08;36.71454696;2.100541348
06.05.03 00:00;934.32;344.25;20.875;1.09;36.44091691;2.123622662
07.05.03 00:00;929.52;342.05;21.26;1.08;37.13241319;2.109292386
08.05.03 00:00;920.14;348.65;21.18;1.06;37.85523978;2.124699199
09.05.03 00:00;933.23;348.55;20.295;1.07;37.72136331;2.128535164
12.05.03 00:00;944.98;351.25;19.705;1.07;39.06830554;2.138766853
13.05.03 00:00;942.23;349.85;19.7;1.02;39.66192648;2.13486484
14.05.03 00:00;939.21;352.45;20.055;0.95;39.18853171;2.134816143
15.05.03 00:00;946.57;351.95;19.505;0.98;43.50071904;2.123775921
16.05.03 00:00;944.41;354.75;18.83;0.98;42.72237352;2.150181063
19.05.03 00:00;920.7;366.25;20.07;1.01;44.28693296;2.16222689
20.05.03 00:00;919.75;367.95;20.99;1.02;45.54613379;2.175093679
21.05.03 00:00;923.23;371.55;21.465;1.14;47.55704969;2.160864699
22.05.03 00:00;931.88;367.05;20.28;1.13;47.52601613;2.163369286
23.05.03 00:00;933.07;368.75;19.61;1.14;45.99586428;2.174645158
27.05.03 00:00;951.43;366.25;20.205;1.15;49.20865867;2.171435162
28.05.03 00:00;953.22;365.05;20.07;1.21;49.48674375;2.160740302
29.05.03 00:00;949.35;369.25;20.2;1.18;47.87105877;2.18090956
30.05.03 00:00;963.7;364.45;19.635;1.16;47.9080109;2.165123934
02.06.03 00:00;966.82;365.85;20.52;1.17;49.04712706;2.167181019
03.06.03 00:00;971.57;365.25;20.96;1.17;47.95219206;2.162716287
04.06.03 00:00;986.06;361.275;20.725;1.15;45.30415601;2.158764085
05.06.03 00:00;989.98;368.75;21.1;1.12;45.55006603;2.185537729
06.06.03 00:00;987.43;363.75;20.8;1.14;44.64399738;2.166533553
