DATE,DTWEXB
2013-11-26,101.7038
2013-11-27,101.8818
2013-11-28,.
2013-11-29,101.8321
2013-12-02,102.0826
2013-12-03,102.0237
2013-12-04,102.0888
2013-12-05,101.6804
2013-12-06,101.5715
2013-12-09,101.2956
2013-12-10,.
2013-12-11,101.2508
2013-12-12,101.5904
2013-12-13,101.5260
2013-12-16,101.3926
2013-12-17,101.4669
2013-12-18,101.5984
2013-12-19,101.9317
2013-12-20,101.9178
2013-12-23,101.7742
2013-12-24,101.8792
2013-12-25,.
2013-12-26,101.9752
2013-12-27,101.8997
2013-12-30,101.6904
2013-12-31,101.7519
2014-01-01,.
2014-01-02,102.0023
2014-01-03,102.0466
2014-01-06,102.1123
2014-01-07,102.2310
2014-01-08,102.4063
2014-01-09,102.5129
2014-01-10,102.1688
2014-01-13,102.0469
2014-01-14,102.1759
2014-01-15,102.5006
2014-01-16,102.7219
2014-01-17,102.7577
2014-01-20,.
2014-01-21,102.8783
2014-01-22,103.0498
2014-01-23,103.0603
2014-01-24,103.0824
2014-01-27,103.1459
2014-01-28,103.1110
2014-01-29,103.0966
2014-01-30,103.3676
2014-01-31,103.4272
2014-02-03,103.5005
2014-02-04,103.2841
2014-02-05,103.2533
2014-02-06,102.9437
2014-02-07,102.9883
2014-02-10,102.9539
2014-02-11,102.8770
2014-02-12,102.8639
2014-02-13,102.7736
2014-02-14,102.5283
2014-02-17,.
2014-02-18,102.4626
2014-02-19,102.6565
2014-02-20,102.9449
2014-02-21,102.9215
2014-02-24,102.7023
2014-02-25,102.8087
2014-02-26,103.1045
2014-02-27,103.0150
2014-02-28,102.7495
2014-03-03,102.9700
2014-03-04,103.0118
2014-03-05,102.8177
2014-03-06,102.3288
2014-03-07,102.5973
2014-03-10,102.7261
2014-03-11,102.7453
2014-03-12,102.8246
2014-03-13,102.5478
2014-03-14,102.6152
2014-03-17,102.5900
2014-03-18,102.6680
2014-03-19,102.7748
2014-03-20,103.4446
2014-03-21,103.3073
2014-03-24,103.1677
2014-03-25,103.0498
2014-03-26,102.9533
2014-03-27,102.7745
2014-03-28,102.8065
2014-03-31,102.6749
2014-04-01,102.5319
2014-04-02,102.7266
2014-04-03,102.9367
2014-04-04,102.6414
2014-04-07,102.5187
2014-04-08,102.0721
2014-04-09,102.0815
2014-04-10,101.9355
2014-04-11,102.0578
2014-04-14,102.2458
2014-04-15,102.3969
2014-04-16,102.3869
2014-04-17,102.3258
2014-04-18,102.3968
2014-04-21,102.4796
2014-04-22,102.5483
2014-04-23,102.6135
2014-04-24,102.6113
2014-04-25,102.6563
2014-04-28,102.6223
2014-04-29,102.5198
2014-04-30,102.3907
2014-05-01,102.3710
2014-05-02,102.3152
2014-05-05,102.2107
2014-05-06,101.8943
2014-05-07,101.8915
2014-05-08,101.8179
2014-05-09,102.1034
2014-05-12,102.1099
2014-05-13,102.1114
2014-05-14,102.0187
2014-05-15,102.1349
2014-05-16,102.0399
2014-05-19,101.9319
2014-05-20,102.1044
2014-05-21,102.1864
2014-05-22,102.1219
2014-05-23,102.1331
2014-05-26,.
2014-05-27,102.2867
2014-05-28,102.3254
2014-05-29,102.1283
2014-05-30,102.2120
2014-06-02,102.4566
2014-06-03,102.5137
2014-06-04,102.5811
2014-06-05,102.4292
2014-06-06,102.3457
2014-06-09,102.3868
2014-06-10,102.4714
2014-06-11,102.3939
2014-06-12,102.2280
2014-06-13,102.3293
2014-06-16,102.3066
2014-06-17,102.5362
2014-06-18,102.5047
2014-06-19,102.1991
2014-06-20,102.2132
2014-06-23,102.0757
2014-06-24,102.1494
2014-06-25,102.0394
2014-06-26,101.9885
2014-06-27,101.8301
2014-06-30,101.6268
2014-07-01,101.5656
2014-07-02,101.6895
2014-07-03,101.7575
2014-07-04,.
2014-07-07,101.8100
2014-07-08,101.7410
2014-07-09,101.6386
2014-07-10,101.7276
2014-07-11,101.8335
2014-07-14,101.8323
2014-07-15,102.0159
2014-07-16,102.0345
2014-07-17,102.1036
2014-07-18,102.1085
2014-07-21,102.0488
2014-07-22,102.0560
2014-07-23,102.0066
2014-07-24,102.0968
2014-07-25,102.2299
2014-07-28,102.2371
2014-07-29,102.4364
2014-07-30,102.7279
2014-07-31,102.8426
2014-08-01,102.8839
2014-08-04,102.8521
2014-08-05,103.0674
2014-08-06,103.0036
2014-08-07,103.0377
2014-08-08,102.9764
2014-08-11,102.8382
2014-08-12,102.8916
2014-08-13,102.8207
2014-08-14,102.7064
2014-08-15,102.6305
2014-08-18,102.5837
2014-08-19,102.7599
2014-08-20,102.9286
2014-08-21,103.0149
2014-08-22,103.1366
2014-08-25,103.2555
2014-08-26,103.1993
2014-08-27,103.0160
2014-08-28,103.0445
2014-08-29,103.0780
2014-09-01,.
2014-09-02,103.4323
2014-09-03,103.2212
2014-09-04,103.6100
2014-09-05,103.5627
2014-09-08,103.7356
2014-09-09,104.1981
2014-09-10,104.1889
2014-09-11,104.2502
2014-09-12,104.4130
2014-09-15,104.4923
2014-09-16,104.2331
2014-09-17,104.2966
2014-09-18,104.5368
2014-09-19,104.7379
2014-09-22,104.8626
2014-09-23,104.8974
2014-09-24,105.0274
2014-09-25,105.2759
2014-09-26,105.5839
2014-09-29,105.7800
2014-09-30,105.9285
2014-10-01,105.9478
2014-10-02,105.7007
2014-10-03,106.3639
2014-10-06,105.9531
2014-10-07,105.8534
2014-10-08,105.9139
2014-10-09,105.5703
2014-10-10,105.8176
2014-10-13,.
2014-10-14,105.7759
2014-10-15,105.7225
2014-10-16,105.6697
2014-10-17,105.6910
2014-10-20,105.6678
2014-10-21,105.6242
2014-10-22,105.8363
2014-10-23,105.9910
2014-10-24,105.8740
2014-10-27,105.9386
2014-10-28,105.6254
2014-10-29,105.4250
2014-10-30,105.8457
2014-10-31,106.5406
2014-11-03,106.9789
2014-11-04,106.9972
2014-11-05,107.2855
2014-11-06,107.6117
2014-11-07,107.5243
2014-11-10,107.4134
2014-11-11,.
2014-11-12,107.3952
2014-11-13,107.6054
